;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
N°Référence ;Désignation;Catégorie;Conditionnement;Qté/Conditionnement;Dosage;Stock critique;Stock initial;Stock actuel;Statut du stock;Prix d'achat unitaire;Valeur en stock;Prix de vente unitaire;Date Stock Initial;Date de péremption;Alerte de péremption;Lot stock initial;_SearchKey;;;;
;Courgette bte 50gr;Semences;boite;1;.50gr;3;;;Niveau satisfaisant;1,49 USD;;5,00 USD;;;Bon état;;courg-seme-.50gr|courgette bte 50gr|approvisionnement urgent!;;;;
;Courge bte/50gr;Semences;boite;1;50gr;3;;;Niveau satisfaisant;1,67 USD;;4,50 USD;;;Bon état;;courg-seme-50gr|courge bte/50gr|approvisionnement urgent!;;;;
;Cooper oil 100ml;Produits vétérinaires;boite;1;100ml;2;;;Niveau satisfaisant;3,26 USD;;5,00 USD;;;Bon état;;coope-prod-100ml|cooper oil 100ml|approvisionnement urgent!;;;;
;Cooper oil 250ml;Produits vétérinaires;boite;1;250ml;3;;;Approvisionnement urgent!;5,97 USD;;9,00 USD;;;;;coope-prod-250ml|cooper oil 250ml|approvisionnement urgent!;;;;
;Coupe-ongle pour chiens;Produits vétérinaires;pce;1;pce;2;;;Approvisionnement nécessaire;9,52 USD;;15,00 USD;;;Bon état;;coupe-prod-pce|coupe-ongle pour chiens|approvisionnement urgent!;;;;
;concombre sachet original;Semences;sachet/10gr;1;sachetoriginal;3;;;Approvisionnement urgent!;1,20 USD;;3,00 USD;;;;;conco-seme-sachetoriginal|concombre sachet original|approvisionnement urgent!;;;;
;concombre sachet 10gr;Semences;sachet;1;10gr;5;;;Niveau satisfaisant;0,48 USD;;0,80 USD;;;Bon état;;conco-seme-10gr|concombre sachet 10gr|approvisionnement urgent!;;;;
;concombre bte 50gr;Semences;boite;1;50gr;3;;;Niveau satisfaisant;2,38 USD;;4,50 USD;;;Bon état;;conco-seme-50gr|concombre bte 50gr|approvisionnement urgent!;;;;
;Collier étrangleur pour chiens;Produits vétérinaires;pce;1;..rlx;2;;;Approvisionnement urgent!;5,71 USD;;10,00 USD;;;;;colli-prod-..rlx|collier etrangleur pour chiens|approvisionnement urgent!;;;;
;Collier antipuce CHIOT;Produits vétérinaires;pce;1;.rlx;2;;;Approvisionnement urgent!;6,90 USD;;10,00 USD;;;;;colli-prod-.rlx|collier antipuce chiot|approvisionnement urgent!;;;;
;Collier antipuce Adulte;Produits vétérinaires;pce;1;rlx;2;;;Approvisionnement urgent!;9,52 USD;;15,00 USD;;;;;colli-prod-rlx|collier antipuce adulte|approvisionnement urgent!;;;;
;Collier petit pour chat;Produits vétérinaires;pce;1;.pce;5;;;Approvisionnement urgent!;1,20 USD;;5,00 USD;;;;;colli-prod-.pce|collier petit pour chat|approvisionnement urgent!;;;;
;Collier petit pour chien;Produits vétérinaires;pce;1;pce…;5;;;Approvisionnement urgent!;1,34 USD;;10,00 USD;;;;;colli-prod-pce…|collier petit pour chien|approvisionnement urgent!;;;;
;Collier moyen pour chien;Produits vétérinaires;pce;1;pce.;5;;;Approvisionnement urgent!;3,20 USD;;12,00 USD;;;;;colli-prod-pce.|collier moyen pour chien|approvisionnement urgent!;;;;
;Collier grand pour chien;Produits vétérinaires;pce;1;pce;4;;;Approvisionnement urgent!;5,60 USD;;15,00 USD;;;;;colli-prod-pce|collier grand pour chien|approvisionnement urgent!;;;;
;Ciboulette sachhet 10gr;Semences;sachet;1;10gr;5;;;Approvisionnement urgent!;0,48 USD;;0,80 USD;;;Bon état;;cibou-seme-10gr|ciboulette sachhet 10gr|approvisionnement urgent!;;;;
;Ciboulette bte 50gr;Semences;boite;1;50gr;3;;;Niveau satisfaisant;3,75 USD;;4,50 USD;;;Bon état;;cibou-seme-50gr|ciboulette bte 50gr|approvisionnement urgent!;;;;
;Chine Choux-F! hybride;Semences;sachet;1;10gr;3;;;Approvisionnement urgent!;8,43 USD;;10,00 USD;;;;;chine-seme-10gr|chine choux-f! hybride|approvisionnement urgent!;;;;
;Chine Choux bte/5ogr;Semences;boite;1;50gr;2;;;Approvisionnement urgent!;3,75 USD;;5,00 USD;;;;;chine-seme-50gr|chine choux bte/5ogr|approvisionnement urgent!;;;;
;Choux fleur hybride sachet/10gr;Semences;sachet;1;10grame;5;;;Approvisionnement urgent!;4,86 USD;;10,00 USD;;;Bon état;;choux-seme-10grame|choux fleur hybride sachet/10gr|approvisionnement urgent!;;;;
;Fleur Choux sachet/10gr;Semences;sachet;1;sache10gr;5;;;Niveau satisfaisant;0,48 USD;;0,80 USD;;;Bon état;;fleur-seme-sache10gr|fleur choux sachet/10gr|approvisionnement urgent!;;;;
;FleurChoux bte/50gr;Semences;bte;1;50gr;5;;;Niveau satisfaisant;2,97 USD;;4,50 USD;;;Bon état;;fleur-seme-50gr|fleurchoux bte/50gr|approvisionnement urgent!;;;;
;Choux rouge 10gr;Semences;boite;1;sachet/10gr;3;;;Approvisionnement urgent!;0,48 USD;;0,80 USD;;;;;choux-seme-sachet/10gr|choux rouge 10gr|approvisionnement urgent!;;;;
;.Choux rouge 50gr;Semences;boite;1;50gr;3;;;Approvisionnement urgent!;3,20 USD;;5,00 USD;;;;;.chou-seme-50gr|.choux rouge 50gr|approvisionnement urgent!;;;;
;Choux-F1sachet hybride;Semences;sachet;1;10gramme;4;;;Niveau satisfaisant;4,73 USD;;9,00 USD;;;Bon état;;choux-seme-10gramme|choux-f1sachet hybride|approvisionnement urgent!;;;;
;Choux sachet/10gr;Semences;sachet;1;10gr;10;;;Approvisionnement urgent!;0,48 USD;;0,80 USD;;;Bon état;;choux-seme-10gr|choux sachet/10gr|approvisionnement urgent!;;;;
;Choux bte/50gr;Semences;boite;1;50gr;6;;;Niveau satisfaisant;1,30 USD;;2,00 USD;;;Bon état;;choux-seme-50gr|choux bte/50gr|approvisionnement urgent!;;;;
;Choux 250gr;Semences;bte;1;250gr;2;;;Approvisionnement urgent!;6,87 USD;;9,00 USD;;;;;choux-seme-250gr|choux 250gr|approvisionnement urgent!;;;;
;Chaine tissus + museliaire;Produits vétérinaires;pce;1;chaine;3;;;Approvisionnement urgent!;6,67 USD;;12,00 USD;;;;;chain-prod-chaine|chaine tissus + museliaire|approvisionnement urgent!;;;;
;..Chaine metallique petit chien;Produits vétérinaires;pce;1;pce;3;;;Approvisionnement urgent!;3,34 USD;;10,00 USD;;;;;..cha-prod-pce|..chaine metallique petit chien|approvisionnement urgent!;;;;
;.Chaine metallique moyen pour chien;Produits vétérinaires;pce;1;pce;5;;;Niveau satisfaisant;3,89 USD;;12,00 USD;;;Bon état;;.chai-prod-pce|.chaine metallique moyen pour chien|approvisionnement urgent!;;;;
;"Chaine metallique 50"" grand pour chien";Produits vétérinaires;pce;1;pce;5;;;Niveau satisfaisant;5,10 USD;;15,00 USD;;;Bon état;Lot-Initial-CHAIN-PROD-pce-02012026;chain-prod-pce|chaine metallique grand pour chien|approvisionnement urgent!;;;;
;Celery;Semences;sachet/10gr;1;sachet;5;;;Approvisionnement nécessaire;1,00 USD;;3,00 USD;;;Bon état;;celer-seme-sachet|celery|approvisionnement urgent!;;;;
;Celery 10gr;Semences;sachet/10gr;1;10gr;5;;;Approvisionnement nécessaire;0,48 USD;;0,80 USD;;;Bon état;;celer-seme-10gr|celery 10gr|approvisionnement urgent!;;;;
;Celery 50gr;Semences;boite;1;50gr;5;;;Approvisionnement urgent!;4,00 USD;;6,00 USD;;;Bon état;;celer-seme-50gr|celery 50gr|approvisionnement urgent!;;;;
;Catgut;Produits vétérinaires;pce;1;pce;3;;;Approvisionnement urgent!;1,98 USD;;2,50 USD;;;;;catgu-prod-pce|catgut|approvisionnement urgent!;;;;
;Carotte bte/250gr;Semences;boite;1;250gr;2;;;Approvisionnement urgent!;7,00 USD;;12,00 USD;;;;;carot-seme-250gr|carotte bte/250gr|approvisionnement urgent!;;;;
;Carotte sachet original;Semences;sachet;1;sachet/10gr;5;;;Approvisionnement urgent!;0,60 USD;;3,00 USD;;;;;carot-seme-sachet/10gr|carotte sachet original|approvisionnement urgent!;;;;
;Carotte sachet/10gr;semences;sachet/10gr;1;10gr;10;;;Approvisionnement nécessaire;0,47 USD;;0,80 USD;;;Bon état;;carot-seme-10gr|carotte sachet/10gr|approvisionnement urgent!;;;;
;Carotte bte/50gr;Semences;boite;1;50gr;5;;;Niveau satisfaisant;2,00 USD;;3,00 USD;;;Bon état;;carot-seme-50gr|carotte bte/50gr|approvisionnement urgent!;;;;
;Cash nez;Produits vétérinaires;pce;1;pce;3;;;Approvisionnement urgent!;0,80 USD;;1,50 USD;;;;;cash -prod-pce|cash nez|approvisionnement urgent!;;;;
;Calcium en poudre bte/500gr;Produits vétérinaires;boite;1;500gr;3;;;Approvisionnement urgent!;3,25 USD;;6,00 USD;;;;;calci-prod-500gr|calcium en poudre bte/500gr|approvisionnement urgent!;;;;
;Butanil 70 Herbicide (Riz);herbicide selective;flacon;1;1litre;2;;;Approvisionnement urgent!;8,23 USD;;15,00 USD;;;;;butan-herb-1litre|butanil 70 herbicide (riz)|approvisionnement urgent!;;;;
;Café semence;Semences;sachet/1kg;1;kilo;5;;;Approvisionnement urgent!;1,00 USD;;3,00 USD;;;;;cafe -seme-kilo|cafe semence|approvisionnement urgent!;;;;
;Cage plastique pour chien;Produits vétérinaires;pce;1;pce;1;;;Approvisionnement urgent!;50,32 USD;;120,00 USD;;;;;cage -prod-pce|cage plastique pour chien|approvisionnement urgent!;;;;
;Butalex 20ml (Parvexon);Produits vétérinaires;flacon;1;20ml;2;;;Niveau satisfaisant;12,30 USD;;20,00 USD;;;Bon état;;butal-prod-20ml|butalex 20ml (parvexon)|approvisionnement urgent!;;;;
;Butalex (Parvexon);Produits vétérinaires;flacon;1;50ml;2;;;Approvisionnement urgent!;17,00 USD;;35,00 USD;;;;;butal-prod-50ml|butalex (parvexon)|approvisionnement urgent!;;;;
;Burogluconate de calcium 100mg inject;Produits vétérinaires;flacon;1;100ml;2;;;Approvisionnement urgent!;3,41 USD;;6,00 USD;;;;;burog-prod-100ml|burogluconate de calcium 100mg inject|approvisionnement urgent!;;;;
;Burogluconate de calcium 400mg inject;Produits vétérinaires;flaco;1;400ml;2;;;Approvisionnement urgent!;6,82 USD;;15,00 USD;;;;;burog-prod-400ml|burogluconate de calcium 400mg inject|approvisionnement urgent!;;;;
;Burogluconate de calcium sirop 1litre;Produits vétérinaires;flacon;1;litre;2;;;Approvisionnement urgent!;4,81 USD;;15,00 USD;;;;;burog-prod-litre|burogluconate de calcium sirop 1litre|approvisionnement urgent!;;;;
;Brosse en bois pour chien;Produits vétérinaires;pce;1;*pce;2;;;Niveau satisfaisant;3,98 USD;;8,00 USD;;;;;bross-prod-*pce|brosse en bois pour chien|approvisionnement urgent!;;;;
;Brosse en plastique pour chien;Produits vétérinaires;pce;1;.pce;2;;;Niveau satisfaisant;2,50 USD;;8,00 USD;;;Bon état;Lot-Initial-BROSS-PROD-.pce-02012026;bross-prod-.pce|brosse en plastique pour chien|approvisionnement urgent!;;;;
;Brosse à fourure/chien métalique;Produits vétérinaires;pce;1;pce;2;;;Approvisionnement urgent!;6,89 USD;;15,00 USD;;;;;bross-prod-pce|brosse a fourure/chien metalique|approvisionnement urgent!;;;;
;Broiller Booster sachet 100gr;Produits vétérinaires;sachet/100gr;1;sachet/100gr;5;;;Approvisionnement urgent!;1,28 USD;;3,00 USD;;;;;broil-prod-sachet/100gr|broiller booster sachet 100gr|approvisionnement urgent!;;;;
;Broiller Booster bte 100gr;Produits vétérinaires;boite;1;100gr;6;;;Niveau satisfaisant;1,08 USD;;4,00 USD;;;Bon état;;broil-prod-100gr|broiller booster bte 100gr|approvisionnement urgent!;;;;
;Broiller Booster 500gr;Produits vétérinaires;boite;1;500gr;5;;;Approvisionnement urgent!;3,78 USD;;8,00 USD;;;Bon état;;broil-prod-500gr|broiller booster 500gr|approvisionnement urgent!;;;;
;Broiller Booster 700gr;Produits vétérinaires;boite;1;700gr;3;;;Approvisionnement urgent!;5,23 USD;;15,00 USD;;;;;broil-prod-700gr|broiller booster 700gr|approvisionnement urgent!;;;;
;Broccoli sachet/10gr;Semences;sachet/10gr;1;sachet/10gr;10;;;Niveau satisfaisant;0,48 USD;;0,80 USD;;;Bon état;;brocc-seme-sachet/10gr|broccoli sachet/10gr|approvisionnement urgent!;;;;
;Broccoli bte/50gr;Semences;bte/50gr;1;50gr;3;;;Approvisionnement urgent!;3,20 USD;;4,50 USD;;;;;brocc-seme-50gr|broccoli bte/50gr|approvisionnement urgent!;;;;
;.Boucles d'oreille pour vaches;Produits vétérinaires;pce;1;pce;10;;;Niveau satisfaisant;0,55 USD;;1,50 USD;;;Bon état;;.bouc-prod-pce|.boucles d'oreille pour vaches|approvisionnement urgent!;;;;
;Boucles d'oreille pour chèvres;Produits vétérinaires;pce;1;pce;10;;;Niveau satisfaisant;0,47 USD;;1,30 USD;;;Bon état;;boucl-prod-pce|boucles d'oreille pour chevres|approvisionnement urgent!;;;;
;Bottes plastic;outils aratoires;paire;1;paire;2;;;Approvisionnement urgent!;6,00 USD;;10,00 USD;;;;;botte-outi-paire|bottes plastic|approvisionnement urgent!;;;;
;Booster (engrais);Engrais foliaires;flacon;1;500ml;3;;;Approvisionnement urgent!;1,35 USD;;3,00 USD;;;;;boost-engr-500ml|booster (engrais)|approvisionnement urgent!;;;;
;Bob & Martin shampoo;Produits vétérinaires;flacon;1;250ml;2;;;Approvisionnement urgent!;6,20 USD;;12,00 USD;;;;;bob &-prod-250ml|bob & martin shampoo|approvisionnement urgent!;;;;
;Blouse médicale vétérinaire;Produits vétérinaires;pce;1;pce;2;;;Approvisionnement urgent!;10,00 USD;;15,00 USD;;;;;blous-prod-pce|blouse medicale veterinaire|approvisionnement urgent!;;;;
;Bloc a lécher 10kg;Produits vétérinaires;pce;1;10kg;2;;;Niveau satisfaisant;8,00 USD;;18,00 USD;;;Bon état;;bloc -prod-10kg|bloc a lecher 10kg|approvisionnement urgent!;;;;
;Bloc a lécher 5kg;Produits vétérinaires;pce;1;5kg;3;;;Approvisionnement urgent!;4,00 USD;;10,00 USD;;;Bon état;;bloc -prod-5kg|bloc a lecher 5kg|approvisionnement urgent!;;;;
;Bloc a lécher spécial lait 3.5kg;Produits vétérinaires;pce;1;3,5kg;3;;;Approvisionnement urgent!;2,79 USD;;8,00 USD;;;;;bloc -prod-3,5kg|bloc a lecher special lait 3.5kg|approvisionnement urgent!;;;;
;Bloc a lécher 3kg;Produits vétérinaires;pce;1;3kg;5;;;Approvisionnement nécessaire;2,76 USD;;6,00 USD;;;Bon état;;bloc -prod-3kg|bloc a lecher 3kg|approvisionnement urgent!;;;;
;Bloc a lécher 2kg;Produits vétérinaires;pce;1;2kg;5;;;Niveau satisfaisant;2,00 USD;;5,00 USD;;;Bon état;;bloc -prod-2kg|bloc a lecher 2kg|approvisionnement urgent!;;;;
;Blitzip;Produits vétérinaires;flacon;1;litre;1;;;Approvisionnement urgent!;24,56 USD;;35,00 USD;;;;;blitz-prod-litre|blitzip|approvisionnement urgent!;;;;
;Biocycline;Produits vétérinaires;flacon;1;100ml;5;;;Approvisionnement urgent!;5,20 USD;;8,00 USD;;;;;biocy-prod-100ml|biocycline|approvisionnement urgent!;;;;
;Biosafe;Désinfectants;flacon;1;litre;3;;;Niveau satisfaisant;3,24 USD;;10,00 USD;;;Bon état;;biosa-desi-litre|biosafe|approvisionnement urgent!;;;;
;Binettes;outils aratoires;pce;1;pce;1;;;Approvisionnement urgent!;3,25 USD;;5,00 USD;;;;;binet-outi-pce|binettes|approvisionnement urgent!;;;;
;Bibero pour vache 2litre;pce;Produits vétérinaires;1;pce;1;;;Approvisionnement urgent!;18,65 USD;;25,00 USD;;;;;biber-pce-pce|bibero pour vache 2litre|approvisionnement urgent!;;;;
;Betterave sachet original;Semences;sachet original;1;gramme;4;;;Approvisionnement urgent!;0,60 USD;;3,00 USD;;;;;bette-seme-gramme|betterave sachet original|approvisionnement urgent!;;;;
;Betterave boite 50gr;Semences;bte/50gr;1;50gr;4;;;Approvisionnement nécessaire;4,50 USD;;10,00 USD;;;Bon état;;bette-seme-50gr|betterave boite 50gr|approvisionnement urgent!;;;;
;Bèches;outils aratoires;pce;1;pce;2;;;Approvisionnement urgent!;2,00 USD;;5,00 USD;;;;;beche-outi-pce|beches|approvisionnement urgent!;;;;
;Bayticol pour-on 200ml;ml;flacon;1;200ml;2;;;Approvisionnement urgent!;11,20 USD;;20,00 USD;;;Bon état;;bayti-ml-200|bayticol pour-on 200ml|approvisionnement urgent!;;;;
;Bayticol pour-on 1litre;Produits vétérinaires;flacon;1;litre;2;;;Approvisionnement nécessaire;37,84 USD;;65,00 USD;;;Bientôt expiré;Lot-Initial-BAYTI-PROD-litre-02012026;bayti-prod-litre|bayticol pour-on 1litre|approvisionnement urgent!;;;;
;Baraki rat;Raticide;sachet;1;20gr;6;;;Approvisionnement urgent!;0,68 USD;;1,20 USD;;;;;barak-rati-20gr|baraki rat|approvisionnement urgent!;;;;
;*Ngongwe*  Auberginesachet original;Semences;sachet original;1;gr;10;;;Approvisionnement urgent!;0,30 USD;;1,00 USD;;;;;*ngon-seme-gr|*ngongwe* auberginesachet original|approvisionnement urgent!;;;;
;".""Ngongwe"" Auberginesachet/10gr";Semences;sachet/10gr;1;10gr;10;;;Approvisionnement nécessaire;0,35 USD;;0,80 USD;;;Bon état;"Lot-Initial-.""NGO-SEME-10gr-01012025";".""ngo-seme-10gr|.""ngongwe"" auberginesachet/10gr|approvisionnement urgent!";;;;
;"""Ngongwe"" Aubergine bte 50gr";Semences;bte/50gr;1;50gr;10;;;Niveau satisfaisant;3,50 USD;;5,00 USD;;;Bon état;;"""ngon-seme-50gr|""ngongwe"" aubergine bte 50gr|approvisionnement urgent!";;;;
;*Ntulo* Aubergine sachet original;Semences;sachet original;1;gr;10;;;Approvisionnement urgent!;0,60 USD;;1,00 USD;;;;;*ntul-seme-gr|*ntulo* aubergine sachet original|approvisionnement urgent!;;;;
;"""Ntulo"" Auberginesachet/10gr";Semences;sachet/10gr;1;10gr;10;;;Approvisionnement urgent!;0,48 USD;;0,90 USD;;;Bon état;;"""ntul-seme-10gr|""ntulo"" auberginesachet/10gr|approvisionnement urgent!";;;;
;".""Ntulo"" Aubergine bte 50gr";Semences;bte/50gr;1;50gr;10;;;Approvisionnement urgent!;2,35 USD;;4,50 USD;;;Bon état;;".""ntu-seme-50gr|.""ntulo"" aubergine bte 50gr|approvisionnement urgent!";;;;
;"Aubergine ""Locale""";Semences;sachet/1kg;1;1kg;10;;;Approvisionnement urgent!;12,00 USD;;30,00 USD;;;;;"auber-seme-1kg|aubergine ""locale""|approvisionnement urgent!";;;;
;"Aubergine ""Blackbeauty"" 250gr";Semences;bte/250gr;1;250gr;3;;;Approvisionnement urgent!;7,14 USD;;16,00 USD;;;;;"auber-seme-250gr|aubergine ""blackbeauty"" 250gr|approvisionnement urgent!";;;;
;"Aubergine ""Blackbeauty"" sachet/10gr originale";Semences;sachet original;1;5gr;10;;;Approvisionnement urgent!;0,60 USD;;1,00 USD;;;Bon état;;"auber-seme-5gr|aubergine ""blackbeauty"" sachet/10gr originale|approvisionnement urgent!";;;;
;"Aubergine ""Blackbeauty"" sachet/10gr";Semences;sachet/10gr;1;10gr;10;;;Approvisionnement nécessaire;0,48 USD;;0,80 USD;;;Bon état;;"auber-seme-10gr|aubergine ""blackbeauty"" sachet/10gr|approvisionnement urgent!";;;;
;"Aubergine ""Blackbeauty"" 50gr";Semences;bte/50gr;1;50gr;10;;;Approvisionnement nécessaire;2,38 USD;;4,50 USD;;;Bon état;;"auber-seme-50gr|aubergine ""blackbeauty"" 50gr|approvisionnement urgent!";;;;
;Attrape rat;Produits vétérinaires;pce;1;pce;3;;;Approvisionnement urgent!;0,78 USD;;1,50 USD;;;;;attra-prod-pce|attrape rat|approvisionnement urgent!;;;;
;Attrape mouche;Produits vétérinaires;pce;1;rlx;3;;;Approvisionnement urgent!;0,24 USD;;1,00 USD;;;;;attra-prod-rlx|attrape mouche|approvisionnement urgent!;;;;
;Assiette métalique pour chien;Produits vétérinaires;pce;1;2kg;3;;;Approvisionnement urgent!;8,40 USD;;15,00 USD;;;Bon état;;assie-prod-2kg|assiette metalique pour chien|approvisionnement urgent!;;;;
;Assiette plastique pour chien;Produits vétérinaires;pce;1;1,5kg;2;;;Approvisionnement urgent!;3,00 USD;;10,00 USD;;;;;assie-prod-1,5kg|assiette plastique pour chien|approvisionnement urgent!;;;;
;Ascaten bte/6cés;Produits vétérinaires;boite;1;bte/6cés;15;;;Niveau satisfaisant;0,72 USD;;2,00 USD;;;Bon état;Lot-Initial-ASCAT-PROD-bte/6cés-24012026;ascat-prod-bte/6ces|ascaten bte/6ces|approvisionnement urgent!;;;;
;Ascaten bolus;Produits vétérinaires;bolus;1;1/bolus;30;;;Niveau satisfaisant;0,11 USD;;0,25 USD;;;Bon état;;ascat-prod-1/bolus|ascaten bolus|approvisionnement urgent!;;;;
;Arosoir;outils aratoires;pce;1;10litre;10;;;Approvisionnement nécessaire;4,50 USD;;6,00 USD;;;Bon état;;aroso-outi-10litre|arosoir|approvisionnement urgent!;;;;
;Amprolium sachet/5gr;Produits vétérinaires;sachet/5gr;1;5gr;10;;;Niveau satisfaisant;0,10 USD;;0,20 USD;;;Bon état;;ampro-prod-5gr|amprolium sachet/5gr|approvisionnement urgent!;;;;
;Amprolium poudre 100ml;Produits vétérinaires;sachet/100gr;1;100gr;10;;;Niveau satisfaisant;1,60 USD;;6,00 USD;;;Bon état;;ampro-prod-100gr|amprolium poudre 100ml|approvisionnement urgent!;;;;
;Noratraz 12,5% EC 100ml;Produits vétérinaires;flacon;1;100ml;10;;;Niveau satisfaisant;1,52 USD;;5,00 USD;;;Bon état;;norat-prod-100ml|noratraz 12,5% ec 100ml|approvisionnement urgent!;;;;
;Noratraz 12,5% EC 250ml;Produits vétérinaires;flacon;1;250ml;6;;;Approvisionnement urgent!;4,00 USD;;8,00 USD;;;Bon état;;norat-prod-250ml|noratraz 12,5% ec 250ml|approvisionnement urgent!;;;;
;Norortraz 12,5% EC 500ml;Produits vétérinaires;flacon;1;500ml;6;;;Approvisionnement nécessaire;8,50 USD;;13,00 USD;;;Bon état;;noror-prod-500ml|norortraz 12,5% ec 500ml|approvisionnement urgent!;;;;
;Norotraz 12,5% EC 1litre;Produits vétérinaires;flacon;1;1litre;6;;;Niveau satisfaisant;17,60 USD;;25,00 USD;;;Bon état;;norot-prod-1litre|norotraz 12,5% ec 1litre|approvisionnement urgent!;;;;
;Amarante bte/50gr;Semences;bte/50gr;1;50gr;5;;;Approvisionnement urgent!;1,80 USD;;3,00 USD;;;;;amara-seme-50gr|amarante bte/50gr|approvisionnement urgent!;;;;
;Amarante sachet/10gr;Semences;sachet/10gr;1;10gr;20;;;Niveau satisfaisant;0,13 USD;;0,21 USD;;;Bon état;Lot-Initial-AMARA-SEME-10gr-02012026;amara-seme-10gr|amarante sachet/10gr|approvisionnement urgent!;;;;
;Amarante 1kg;Semences;sachet/1kg;1;kg;10;;;Approvisionnement nécessaire;3,00 USD;;7,00 USD;;;Bon état;;amara-seme-kg|amarante 1kg|approvisionnement urgent!;;;;
;Aliment ponte layer sac;Aliments de ferme;sac/50kg;1;sac/50kg;10;;;Approvisionnement urgent!;23,48 USD;;30,00 USD;;;;;alime-alim-sac/50kg|aliment ponte layer sac|approvisionnement urgent!;;;;
;Aliment ponte layer kg;Aliments de ferme;1kg;1;1kgs;20;;;Approvisionnement urgent!;0,48 USD;;0,89 USD;;;;;alime-alim-1kg|aliment ponte layer kg|approvisionnement urgent!;;;;
;Aliments poules chaires croissance sac/50kg;Aliments de ferme;sac/50kg;1;50kilo;5;;;Approvisionnement urgent!;25,00 USD;;32,00 USD;;;;;alime-alim-50kilo|aliments poules chaires croissance sac/50kg|approvisionnement urgent!;;;;
;Aliments poules chaires croissance 1kg;Aliments de ferme;sachet/1kg;1;kg;20;;;Approvisionnement urgent!;0,50 USD;;0,89 USD;;;;;alime-alim-kg|aliments poules chaires croissance 1kg|approvisionnement urgent!;;;;
;Aliment poules chaires demarage sac/50kg;Aliments de ferme;sac/50kg;1;50kg;5;;;Approvisionnement urgent!;24,43 USD;;33,00 USD;;;;;alime-alim-50kg|aliment poules chaires demarage sac/50kg|approvisionnement urgent!;;;;
;Aliment poules chaires demarage 1kg;Aliments de ferme;sachet/1kg;1;1kilo;20;;;Approvisionnement urgent!;0,50 USD;;0,89 USD;;;;;alime-alim-1kilo|aliment poules chaires demarage 1kg|approvisionnement urgent!;;;;
;Alcool dénaturé 100ml;Désinfectants;flacon;1;100ml;3;;;Approvisionnement urgent!;1,80 USD;;2,80 USD;;;;;alcoo-desi-100ml|alcool denature 100ml|approvisionnement urgent!;;;;
;Alcool dénaturé 1litre;Désinfectants;flacon;1;1litre;3;;;Approvisionnement urgent!;5,00 USD;;12,00 USD;;;;;alcoo-desi-1litre|alcool denature 1litre|approvisionnement urgent!;;;;
;Introvit poudre A+ WS sachet/5gr;Produits vétérinaires;sachet/5gr;1;5gr;10;;;Approvisionnement urgent!;0,10 USD;;0,20 USD;;;Bon état;;intro-prod-5gr|introvit poudre a+ ws sachet/5gr|niveau satisfaisant;;;;
;Introvit poudre A+ WS;Produits vétérinaires;sachet/100gr;1;100gr;10;;;Niveau satisfaisant;2,80 USD;;6,00 USD;;;Bon état;;intro-prod-100gr|introvit poudre a+ ws|niveau satisfaisant;;;;
;Primovet;Produits vétérinaires;sachet/100gr;1;100gr;10;;;Niveau satisfaisant;3,78 USD;;7,00 USD;;;Bon état;;primo-prod-100gr|primovet|niveau satisfaisant;;;;
;Albendazole liquide 500ml;Produits vétérinaires;flacon;1;5mg;5;;;Approvisionnement urgent!;2,12 USD;;7,00 USD;;;;;alben-prod-5mg|albendazole liquide 500ml|approvisionnement urgent!;;;;
;Albendazole liquide 1litre;Produits vétérinaires;flacon;1;25mg;6;;;Approvisionnement urgent!;2,87 USD;;11,00 USD;;;Bon état;;alben-prod-25mg|albendazole liquide 1litre|approvisionnement urgent!;;;;
;Albendazole 300mg (vermitan original);Produits vétérinaires;bolus;1;300mgr;50;;;Niveau satisfaisant;0,04 USD;;0,30 USD;;;Bon état;;alben-prod-300mgr|albendazole 300mg (vermitan original)|niveau satisfaisant;;;;
;Albendazole 2500mg (Chine);Produits vétérinaires;bolus;1;2500mgr;50;;;Niveau satisfaisant;0,18 USD;;0,50 USD;;;Bon état;;alben-prod-2500mgr|albendazole 2500mg (chine)|niveau satisfaisant;;;;
;Alamycin poussin;Produits vétérinaires;sachet;1;100gr;10;;;Approvisionnement urgent!;3,00 USD;;6,00 USD;;;;;alamy-prod-100gr|alamycin poussin|approvisionnement urgent!;;;;
;Agro-bag;outils aratoires;sac;1;sac/50kg;10;;;Approvisionnement urgent!;2,00 USD;;5,00 USD;;;;;agro--outi-sac/50kg|agro-bag|approvisionnement urgent!;;;;
;Aiguille;Produits vétérinaires;pce;1;18G;12;;;Niveau satisfaisant;0,24 USD;;0,50 USD;;;Bon état;;aigui-prod-18g|aiguille|niveau satisfaisant;;;;
;Actelic;fongicides agricole;sachet;1;100gr;10;;;Approvisionnement urgent!;1,24 USD;;2,00 USD;;;;;actel-fong-100gr|actelic|approvisionnement urgent!;;;;
;Abreuvoir pour poussin;Produits vétérinaires;pce;1;1,5litre;10;;;Approvisionnement urgent!;1,68 USD;;3,00 USD;;;Bon état;;abreu-prod-1,5litre|abreuvoir pour poussin|approvisionnement necessaire;;;;
;Abrevoir 10litre;Produits vétérinaires;p ce;1;10litre;10;;;Approvisionnement urgent!;4,92 USD;;10,00 USD;;;;;abrev-prod-10litre|abrevoir 10litre|approvisionnement urgent!;;;;
